reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
71f488fe-4cab-43d0-8a91-27adfaf4df99,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"It's slow as molasses and I keep getting""an error has occurred"" with a Retry button. I have to hit the Retry 3 to 4 times before an answer finally appears. When it does answer, it goes overboard. Doesn't know the meaning of succinct. I'll just keep using Grok in the X app, which is superb except for the long answers to simple questions.",2,0,0.3.2,2025-03-29 20:33:21,,,0.3.2
a447a3f4-354f-48fd-bb7a-45aaaa578301,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I can't say enough great things about Grok 3. So far I've discussed my husband's health and symptoms and was not only surprised at the depth to which I received an answer but I was also able to add new factors and symptoms to gain a larger and more specific picture of the situation. Whereas, for example, Google, I would have to start a new search with each symptom and be unable to see what overlaps or how they interact with each other, only guess. it's been a great experience so far!",5,217,0.3.1,2025-03-27 14:40:47,,,0.3.1
a9361b1f-f92b-4292-acf4-fc0eb25d42a6,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"this is an awesome tool for the creative midset. I've been totally lost in it four hours. well, like 14 hours using it as a research tool. if it could read it would be even more interesting to play with. it's a good learning tool.i love it and it's free at this time. hope it always is. Great app. no issues with it at all.",5,168,0.3.2,2025-03-28 10:54:17,,,0.3.2
03291398-7136-426a-8e88-f31317b9c36b,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Freaking awesome for helping with making everything easier! Just had an issue with taking a photo inside the app and it not loading for analysis. I have to use the camera separately to take the photo then go back into Grok, click the upload button and select it from my pictures. Otherwise, this thing works great so far. I'm using it to help me build a Power App at work that a different AI couldn't help me with.",4,33,0.3.2,2025-03-27 22:35:50,,,0.3.2
92119528-0828-4b60-bfe8-0e9a92ea5f43,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I purchased SuperGrok for $30 which is crazy expensive as it is only to be greeted with ""we'll let you know when it's available"" for the voice feature which was the only reason I paid for SuperGrok. Voice mode is advertised before you make your purchase. also the app is terrible conversations constantly glitch out and stopped working it is better to use grok through the X app.",1,81,0.3.2,2025-03-28 22:23:47,,,0.3.2
f1b2fc52-70e4-40b7-a2a0-d8d9a7c0665f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"it's quite great, AI is itself quite a good Creation, it's help and effects are everywhere, this one has a better approach to answers, not better exactly but a favourable Human output,..if there are anyone alone enough try talking to it , or if in academic or work related need, it would answer and guide You like a friend is. I enjoyed it, and it is helpful to me, truly a wonderful experience, no problems or difficulties yet faced tho.. everything has problems, let's see what this one has...",5,5186,0.3.1,2025-03-26 12:07:42,,,0.3.1
8757d4d9-8c0b-4c54-a2e6-cc8880a28ecd,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Gork was late to the game but they did AI correctly I've used them all but I would say that Gork is probably easily the best. It is more than capable of following very large documents and getting the data out you want can help edit and make suggestions much better than other AIs. It's also about the only one I use nowadays because it does everything and does it good and the search function is fantastic.,5,48,0.3.2,2025-03-26 17:39:43,,,0.3.2
17273f53-77be-4160-8899-b25058306fd1,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Wish it could have a natural languages voice conversation option, eagerly waiting for that. I have found grok to be very accurate better than gemini and copilot in normal mode. In deepsearch its search is very limited or should i say not thorough but whatever it searches from the sources it presents usable presentable enough info from them. Overall i would still say and stay copilot is overall all rounder for nrml user. Gemini is way off in many things to the point its unreliable many a times.",4,329,0.2.9,2025-03-21 20:50:10,,,0.2.9
d5f5a69e-3c36-4efe-b5d4-e132cfdff96f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Needs work, a lot of work in a sense. Especially with how sensitive and twitchy it is. I've had to write out entire sections 3 times now because my screen either flipped or something else triggered, and my written out chat was erased. The screen flip also messed up an entire chat, completely misplacing where all the previous chats and responses were, ruining everything.",3,129,0.1.17,2025-03-01 23:53:17,,,0.1.17
b637778e-c685-4edb-b59e-ff3c82d2906b,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Grok is an absolute game-changer! It’s incredibly fast at generating images, making creativity flow effortlessly. The conversational style is fresh and engaging, with a hip, modern touch that keeps interactions fun. Whether I need a quick visual concept or just a witty, well-informed response, Grok delivers with personality and speed. Highly recommend for anyone who loves an AI that’s both efficient and entertaining!",5,0,,2025-03-27 01:54:49,,,
